metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
qdrant_cloud.qdrant.operator.cluster.phase,gauge,,,,Information about the status of Qdrant clusters,0,qdrant_cloud,qdrant operator cluster phase,
qdrant_cloud.qdrant.operator.cluster.pod.up.to.date,gauge,,,,Whether the Qdrant cluster pod is up to date,0,qdrant_cloud,qdrant operator cluster pod up to date,
qdrant_cloud.qdrant.operator.cluster.status.nodes,gauge,,,,Total number of nodes in the Qdrant cluster,0,qdrant_cloud,qdrant operator cluster status nodes,
qdrant_cloud.qdrant.operator.cluster.status.nodes.ready,gauge,,,,Number of ready nodes in the Qdrant cluster,0,qdrant_cloud,qdrant operator cluster status nodes ready,
qdrant_cloud.qdrant.operator.cluster.info.total,gauge,,,,Total information about the Qdrant cluster,0,qdrant_cloud,qdrant operator cluster info total,
qdrant_cloud.qdrant.node.rssanon.bytes,gauge,,byte,,Anonymous RSS memory usage of Qdrant node,0,qdrant_cloud,qdrant node rssanon bytes,
qdrant_cloud.container.file.descriptors,gauge,,,,Number of file descriptors used by the container,0,qdrant_cloud,container file descriptors,
qdrant_cloud.container.network.receive.bytes.count,count,,byte,,Total bytes received by the container,0,qdrant_cloud,container network receive bytes,
qdrant_cloud.container.network.receive.packets.dropped.count,count,,,,Total packets dropped on receive by the container,0,qdrant_cloud,container network receive packets dropped,
qdrant_cloud.container.network.receive.packets.count,count,,,,Total packets received by the container,0,qdrant_cloud,container network receive packets,
qdrant_cloud.container.network.transmit.bytes.count,count,,byte,,Total bytes transmitted by the container,0,qdrant_cloud,container network transmit bytes,
qdrant_cloud.container.network.transmit.packets.dropped.count,count,,,,Total packets dropped on transmit by the container,0,qdrant_cloud,container network transmit packets dropped,
qdrant_cloud.container.network.transmit.packets.count,count,,,,Total packets transmitted by the container,0,qdrant_cloud,container network transmit packets,
qdrant_cloud.container.cpu.cfs.periods.count,count,,,,Total CPU CFS periods for the container,0,qdrant_cloud,container cpu cfs periods,
qdrant_cloud.container.cpu.cfs.throttled.periods.count,count,,,,Total CPU CFS throttled periods for the container,0,qdrant_cloud,container cpu cfs throttled periods,
qdrant_cloud.container.cpu.usage.seconds.count,count,,second,,Total CPU usage time for the container,0,qdrant_cloud,container cpu usage seconds,
qdrant_cloud.container.fs.reads.bytes.count,count,,byte,,Total bytes read from filesystem by the container,0,qdrant_cloud,container fs reads bytes,
qdrant_cloud.container.fs.reads.count,count,,,,Total filesystem reads by the container,0,qdrant_cloud,container fs reads,
qdrant_cloud.container.fs.writes.bytes.count,count,,byte,,Total bytes written to filesystem by the container,0,qdrant_cloud,container fs writes bytes,
qdrant_cloud.container.fs.writes.count,count,,,,Total filesystem writes by the container,0,qdrant_cloud,container fs writes,
qdrant_cloud.container.memory.cache,gauge,,byte,,Memory cache usage by the container,0,qdrant_cloud,container memory cache,
qdrant_cloud.container.memory.mapped.file,gauge,,byte,,Memory mapped file usage by the container,0,qdrant_cloud,container memory mapped file,
qdrant_cloud.container.memory.rss,gauge,,byte,,Resident set size memory usage by the container,0,qdrant_cloud,container memory rss,
qdrant_cloud.container.memory.working.set.bytes,gauge,,byte,,Working set memory usage by the container,0,qdrant_cloud,container memory working set bytes,
qdrant_cloud.kube.pod.container.info,gauge,,,,Information about the pod container,0,qdrant_cloud,kube pod container info,
qdrant_cloud.kube.pod.container.resource.limits,gauge,,,,Resource limits for the pod container,0,qdrant_cloud,kube pod container resource limits,
qdrant_cloud.kube.pod.container.resource.requests,gauge,,,,Resource requests for the pod container,0,qdrant_cloud,kube pod container resource requests,
qdrant_cloud.kube.pod.container.status.restarts.count,count,,,,Total number of container restarts,0,qdrant_cloud,kube pod container status restarts,
qdrant_cloud.kube.pod.info,gauge,,,,Information about the pod,0,qdrant_cloud,kube pod info,
qdrant_cloud.kube.pod.status.phase,gauge,,,,Current phase of the pod,0,qdrant_cloud,kube pod status phase,
qdrant_cloud.kube.pod.status.ready,gauge,,,,Whether the pod is ready,0,qdrant_cloud,kube pod status ready,
qdrant_cloud.kube.pod.status.ready.time,gauge,,second,,Time when the pod became ready,0,qdrant_cloud,kube pod status ready time,
